program_id,program_name,acronym,duration_months,ects,consortium,website,field,degree_requirement,accepted_fields,cgpa_gpa,english_requirement,english_exemptions,work_experience,application_deadline,selection_process,scholarship,requirement_text_raw
62,"Erasmus Mundus Joint Master PlantHealth","PlantHealth",24,120,"Universitat Politècnica de València (Spain), University of Padua (Italy), AgroParisTech (France), University of Hohenheim (Germany), plus associated partners","https://planthealth.upv.es","Plant Health & Sustainable Cropping","Bachelor's in agriculture, biology, or related","Plant sciences, agronomy, crop protection","Competitive for scholarships","English proficiency required","English-medium degrees","NOT required","December 31, 2025 (first call opens October 1, 2025)","Online application; double degree from two partners; field trips, labs, industry projects; focuses on sustainable crop protection, diagnostics, IPM","30 Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","PlantHealth EMJMD: agriculture/biology grads for IPM/plant pathology. Spain/Italy/France/Germany mobility. Molecular diagnostics, pest management, sustainability. 30 scholarships. First call Oct1-Dec31 2025."
63,"Erasmus Mundus Joint Master CoDaS","CoDaS",24,120,"Aalto University (Finland), Grenoble INP-UGA (France), Técnico Lisboa (Portugal), TU Braunschweig (Germany), Universitat Politècnica de Catalunya (Spain)","https://www.unite-codas-master.eu","Communications Engineering & Data Science","Bachelor's in electrical/computer engineering, ICT, or related","Engineering fields with math/programming focus","Strong mathematics background (linear algebra, statistics)","English proficiency required","English-medium degrees","NOT required","January 12, 2026","Apply to one home university (Year 1: 60 ECTS), then host (Year 2: 30 ECTS + 30 ECTS thesis); double degree awarded; specializations in security, automation, medical informatics, IoT","Erasmus Mundus (€1400/month + tuition waiver + travel)","CoDaS EMJM: engineering grads for comms/data science/AI. Year 1 home uni (Aalto/Técnico/TU Braunschweig/UPC), Year 2 host. Math/programming core. Specializations: security/automation/ML/IoT. Apply by Jan 12, 2026."
64,"Erasmus Mundus Joint Master GLOBED","GLOBED",24,120,"Universitat Autònoma de Barcelona (Spain - S1), University of Oslo (Norway - S2 option), University of Amsterdam (Netherlands - S2 option), University of Malta (Summer School), University of Sarajevo (Bosnia-Herzegovina), plus IIEP-UNESCO","https://www.globed.eu","Education Policies & Global Development","Bachelor's degree (social sciences preferred)","Education, sociology, political science, development studies","Competitive academic record","English proficiency required","English-medium degrees","Field experience advantageous","Check official site (recently funded 2023-2029)","Online application; S1 Barcelona (core), S2 Oslo/Amsterdam (electives), Malta summer school, fieldwork/internships (NGOs, UNESCO), master's thesis","20 Erasmus Mundus scholarships (€1400/month + tuition waiver + travel) + 10 self-funded places","GLOBED EMJMD: social sciences grads for global education policy/development. S1 UAB Barcelona, S2 UiO/Amsterdam, Malta summer school, fieldwork. Globalization/education/inclusion. 20 EM scholarships."
65,"Erasmus Mundus Joint Master SARENA","SARENA",24,120,"IMT Atlantique (France), Universidad Politécnica de Madrid (Spain - RWMD track), LUT University (Finland - NROS track), University of Ljubljana (Slovenia - NROS track)","Check IMT Atlantique or ENEN sites","Nuclear Safety & Applications","Bachelor's in engineering/science (nuclear, mechanical, chemical, physics)","Nuclear engineering, physics, chemistry, related fields","Competitive academic record","IELTS 6+, TOEFL 80+","English-medium degrees","NOT required","Check official sites (previously 2019-2022, new editions possible)","Online application; two tracks: RWMD (waste/decommissioning) or NROS (reactors/safety); dual degree + SARENA certificate; mobility France-Spain/Finland-Slovenia","Erasmus Mundus (€1400/month + tuition waiver + travel; previously 21 scholarships)","SARENA EMJMD: nuclear/engineering grads. Tracks: RWMD (waste/decommissioning France/Spain), NROS (reactors/safety Finland/Slovenia). Dual MSc + certificate. IELTS6+/TOEFL80+."
66,"European Master for Industry in Microwave Electronics and Photonics","EMIMEP",24,120,"University of Limoges (France - coordinator), University of Brescia (Italy), University of Basque Country (Spain), Friedrich Schiller University Jena (Germany)","https://www.erasmus-mundus.emimep.eu","Microwave Electronics & Photonics","Bachelor's in electronics, physics, engineering","Electrical/electronics engineering, physics, materials science","Competitive academic record","English proficiency required","English-medium degrees","NOT required","March 12, 2025 (for 2025 intake; check for 2026)","Online application; mobility across France/Italy/Spain/Germany; industry-linked projects/theses; double/multiple degrees; research-oriented with industrial partners","Erasmus Mundus (€1400/month + tuition waiver + travel)","EMIMEP: electronics/physics/eng grads. Partners: Limoges(FR), Brescia(IT), Basque Country(ES), Jena(DE). Microwave/photonics/RF focus. Industry projects, multiple degrees. Apply by March 12."
67,"Erasmus Mundus Joint Master SMACCs","SMACCs",24,120,"University of Mons (Belgium), International Hellenic University (Greece), University of Basque Country (Spain), University of Vaasa (Finland)","https://www.smaccs.eu","Smart Cities & Communities","Bachelor's/Master's in engineering or sciences","Mechanical/chemical/electrical/civil/environmental engineering, physics, chemistry, math, computer science, economics (with engineering background)","Competitive academic record","IELTS 6.5, TOEFL 90, TOEIC 850","English-medium degrees from select countries","NOT required","Check site (Edition 3 for Sept 2026 open)","Online application; compulsory mobility across 4 universities; industry collaboration with 50+ partners; focuses on energy/transport/ICT/buildings","95 Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","SMACCs EMJM: engineering/science grads for smart cities. Belgium/Greece/Spain/Finland mobility. Energy/transport/ICT/urban planning. IELTS 6.5/TOEFL 90. Applications open for 2026."
68,"Erasmus Mundus Joint Master FilmMemory","FilmMemory",24,120,"LUCA School of Arts (Belgium - S1), University of Galway (Ireland - S2), Tallinn University (Estonia - S3), Lusófona University (Portugal - S4); part of FilmEU alliance","https://filmmemory.eu","Film Heritage & Cultures","Bachelor's degree (any field, humanities preferred)","Film studies, media, arts, history, cultural studies","Competitive record for scholarships","English proficiency required","English-medium degrees","NOT required","Check site (24 scholarships for 2026-2027 cohort)","Online application; compulsory mobility Belgium-Ireland-Estonia-Portugal; practical projects with archives/festivals; graduation project (FilmMemory Project)","24 Erasmus Mundus scholarships (€1400/month x24 + tuition waiver + travel)","FilmMemory EMJM: humanities grads for AV heritage preservation/restoration. Mobility: Brussels(BE)-Galway(IE)-Tallinn(EE)-Lisbon(PT). Film archives, digital tools, European screen cultures. 24 full scholarships."
69,"Erasmus Mundus Joint Master GLOBE","GLOBE",24,120,"Universidad Rey Juan Carlos (Spain - coordinator), Bangor University (UK), University of Lisbon (Portugal), Universidad Autónoma de Tlaxcala (Mexico)","https://globe-master.eu","Global Change Ecology & Biodiversity","Bachelor's degree (any field with ecological interest)","Biology, environmental science, ecology, related disciplines","Academic excellence required","English proficiency required","English-medium degrees","NOT required","Check site (starts Sept 2026; 25 students/cohort)","Online application with video; three mobility periods (30 ECTS each) across partners; joint events; master's thesis (25 ECTS); multiple degrees awarded","80 Erasmus Mundus scholarships over 4 editions (€1400/month + tuition waiver + travel)","GLOBE EMJM: ecology/environmental grads for biodiversity/global change. Spain/UK/Portugal/Mexico mobility. 25 students/edition, 80 scholarships. Thesis + joint events. Apply with video/academic docs."
70,"Erasmus Mundus Joint Master MS²","MS²",24,120,"TU Dortmund University (Germany), University of Trento (Italy), École Centrale de Nantes (France)","https://www.ms2master.com","Mechanics of Sustainable Materials & Structures","First-cycle degree in Civil Engineering or equivalent","Civil engineering; closely related structural/mechanical engineering","At least top ~35% of class (ECTS ≥ B / ~2.8 German scale)","Minimum B2 level (standard test scores or equivalent)","Possible for prior degrees fully taught in English (case-by-case)","Not required, but relevant internships beneficial","Winter deadline (around January/February) for intake starting the following autumn","Academic pre-screening of degree, grades, English proof, CV and motivation; recommended reference letters; ranking by joint committee; admitted students assigned common mobility path","Erasmus Mundus scholarships (~€1400/month for 24 months plus full tuition waiver + travel contribution) for top-ranked; additional tuition waivers for self-funded","MS² is 2-year multiple-degree Master in civil engineering mechanics. First-cycle degree in Civil Engineering (or closely related) with good grades (ECTS A/B) and B2 English. Semester 1 Dortmund, S2 Trento, S3 Nantes, S4 thesis."
71,"Erasmus Mundus Joint Master IMIM","IMIM",24,120,"University of Groningen (Netherlands - coordinator), Heidelberg University (Germany), University of Tartu (Estonia), Uppsala University (Sweden)","https://www.innovativemedicine.eu","Innovative Medicine & Translational Biomedicine","Bachelor's in biomedical/life sciences (medicine, molecular biology, biochemistry)","Biomedical sciences, medicine, molecular biology, biotechnology","Excellent academic record required","High proficiency (B2-C1 CEFR equivalent, IELTS/TOEFL)","English-medium degrees","Research experience advantageous","Mid-January 2026 (typically Jan 15; opens autumn 2025)","Online application; mobility across 2+ partners; research projects, innovation/entrepreneurship modules, master's thesis; double/multiple degrees awarded","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","IMIM EMJMD: biomedical/life sciences grads for translational medicine. Groningen/Heidelberg/Tartu/Uppsala mobility. Disease mechanisms, omics, drug discovery, entrepreneurship. Excellent GPA, strong English. Apply mid-January."
72,"Erasmus Mundus Joint Master DENSYS 2.0","DENSYS 2.0",24,120,"Université de Lorraine (France - S1/S2), KTH Royal Institute of Technology (Sweden - S3 option), Politecnico di Torino (Italy - S3 option), Universitat Politècnica de Catalunya (Spain - S3 option)","https://densys.univ-lorraine.fr","Decentralised Smart Energy Systems","Bachelor's in engineering/science","Mechanical/aeronautical/chemical/electrical/energy engineering","Fluid mechanics, thermodynamics, heat transfer required","TOEFL/IELTS or equivalent required","English-medium degrees","NOT required","January 27, 2026 (12:00 CET)","Online application; S1/S2 France (core), S3 Sweden/Italy/Spain (specialisation), S4 thesis/internship; double degree + joint certificate","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","DENSYS 2.0 EMJMD: engineering grads (mech/chem/elec/energy) with thermo/fluids background. S1/S2 Nancy, S3 KTH/Polito/UPC, S4 thesis. Renewables/smart grids. Deadline Jan 27, 2026."
73,"Erasmus Mundus Joint Master IMARC","IMARC",24,120,"Erasmus University Rotterdam (Netherlands - S1), Ghent University (Belgium - S2 option), University of Malaga (Spain - S2 option), Middlesex University (UK - S2 option)","https://internationalmastercriminology.eu","Advanced Research in Criminology","Bachelor's in social sciences/law","Criminology, sociology, political science, law, related fields","Competitive academic record","English proficiency required","English-medium degrees","Research/practical experience advantageous","February 1, 2026 (opens for 2026-2028 intake)","Online application; S1 Rotterdam (core theory/methods), S2 specialization track (Ghent/Malaga/Middlesex), S3 research/fieldwork/internship, S4 thesis; Common Sessions conferences","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","IMARC EMJMD: social sciences grads for global criminology (borders/security/justice). S1 Rotterdam, S2 specialization track, S3 research, S4 thesis. Advanced methods. Apply from Feb 1, 2026."
74,"Erasmus Mundus Joint Master E-PiCo+","E-PiCo+",24,120,"École Centrale de Nantes (France), Università degli Studi dell'Aquila (Italy), Politehnica University of Bucharest (Romania), Kiel University (Germany)","https://master-epico.ec-nantes.fr","Electric Vehicle Propulsion & Control","Bachelor's in electrical engineering or related","Electrical engineering, control systems, mechatronics","GPA ≥80% or equivalent","TOEFL IBT 80+, IELTS 6.5+, Cambridge B2/C1 173+","English-medium degrees","NOT required","January 31, 2026","Online application (passport, transcripts, CV, motivation letter); mobility across 2-3 countries (S1-S3 courses, S4 thesis/internship); tracks in energy tech/control/DSP/power electronics","20 Erasmus Mundus scholarships (€1400/month + tuition waiver + travel + insurance)","E-PiCo+ EMJMD: electrical/control/mechatronics grads (GPA 80%+). English TOEFL80/IELTS6.5. France/Italy/Romania/Germany. EV propulsion/power electronics/control. 20 scholarships. Deadline Jan 31, 2026."
75,"Erasmus Mundus International Master on Wine Tourism Transitions and Innovations","WINTOUR",24,120,"Rovira i Virgili University (Spain - S1), University of Bordeaux (France - S2), University of Porto (Portugal - S3), internships with industry partners","https://www.urv.cat/en/studies/master/courses/wine-tourism/","Wine Tourism & Innovation","Bachelor's ≥180 ECTS","Tourism, economics, business, oenology, agriculture, biotech, food science, humanities","Competitive academic record","English proficiency required","English-medium degrees","Internships advantageous","April 16 - May 16, 2026 (self-funded); check for EM scholarships","Online pre-registration; mobility Spain-France-Portugal + industry internship (30 ECTS thesis); modules on sustainable winemaking, tourism management, wine culture","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","WINTOUR EMJMD: tourism/business/oenology grads (≥180 ECTS). Spain/France/Portugal mobility + industry internship. Sustainable/digital wine tourism, heritage preservation. English required."
76,"Erasmus Mundus Joint Master CDE","CDE",24,120,"Paris-Lodron University Salzburg (Austria - Year 1 EO*GI), University of South Brittany (France - Year 2 GeoData Science/AI4EO track), Palacký University Olomouc (Czech Republic - Year 2 GeoVisualisation track)","https://master-cde.eu","Copernicus Master in Digital Earth","Bachelor's in geospatial sciences/related","Geoinformatics, GIS, remote sensing, geography, computer science, environmental science","Statistics/linear algebra expected","English proficiency required","English-medium degrees","NOT required","Check site (typically Jan-Feb for scholarships)","Online application; Year 1 Salzburg (EO*GI core), Year 2 specialization (France AI4EO or Czech GeoVis), joint thesis; internships with associated partners","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","CDE EMJMD: geospatial/EO/GIS grads for Copernicus/Digital Earth. Year 1 Salzburg (EO*GI), Year 2 UBS/France (AI4EO) or Olomouc (GeoVis). Programming/math required. Joint MSc Digital Earth."
77,"Erasmus Mundus Joint Master EMSSE","EMSSE",24,120,"Université de Technologie de Compiègne (France - coordinator), Università degli Studi di Genova (Italy - SoSE track), Universitat Politècnica de Catalunya (Spain - AMS track), Polytechnic University of Tirana (Albania - M1S2 compulsory)","Check coordinating university UTC Compiègne (typically linked via Erasmus+ sites)","Sustainable Systems Engineering","Bachelor's in engineering/science","Mechanical/electrical/industrial engineering, related fields","Optimization/statistics background expected","English proficiency required","English-medium degrees","NOT required","Check site (typically Jan-Feb; second round April)","Online application via coordinating university; compulsory M1S2 Albania; specialized tracks (SoSE Italy, AOS France, AMS Spain); joint degree from all partners","Erasmus Mundus (€1400/month x24 + tuition waiver); additional EMSSE scholarships (€850/month or tuition waivers)","EMSSE EMJMD: engineering grads for sustainable systems. Compulsory Albania semester + tracks: SoSE(Italy)/AOS(France)/AMS(Spain). Lifecycle analysis, ML/optimization. Joint degree 4 unis. EM + tuition waivers."
78,"Erasmus Mundus Joint Master FLOODRisk","FLOODRisk",24,120,"IHE Delft Institute for Water Education (Netherlands - S2), TU Dresden (Germany - S1), Universitat Politècnica de Catalunya (Spain - S3.1), University of Ljubljana (Slovenia - S3.2)","https://www.floodriskmaster.org","Flood Risk Management","Bachelor's in engineering/science","Civil/water/hydraulic engineering, environmental science, geography","Hydrodynamics/modelling background expected","English proficiency required","English-medium degrees","NOT required","May 31 (preferred; check site for exact dates)","Online application; fixed mobility S1 Germany, S2 Netherlands, S3 Spain/Slovenia, S4 thesis (university/industry); field trips, electives","Tuition €5500/year (no current EM scholarships listed; check for updates)","FLOODRisk EMJMD: water/civil eng grads for integrated flood management. S1 Dresden (hydro-meteo), S2 Delft (hydroinformatics), S3 Barcelona/Ljubljana (planning/socio-econ), S4 thesis. GIS/modelling. Tuition €5500/yr."
79,"Erasmus Mundus International Master IMSOGLO","IMSOGLO",24,120,"Ghent University (Belgium - S1, coordinator), Aarhus University (Denmark - specialization 1), University of Natural Resources and Life Sciences (Austria - specialization 2), University of Göttingen (Germany - specialization 2)","https://www.euroleague-study.org/en/mscimsoglo","Soils & Global Change","Bachelor's in soil/agricultural/environmental sciences","Soil science, agriculture, environmental science, ecology, geology","Competitive academic record","English proficiency required","English-medium degrees","NOT required","Typically January/February (check Ghent University site)","Online application; S1 Ghent (core), then specialization 1 (Ghent/Aarhus ecosystem services) or 2 (BOKU/Göttingen soil-plant systems); field work, thesis","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","IMSOGLO EMJMD: soil/agri/env science grads for global change impacts. S1 Ghent, then Aarhus(DK) OR BOKU(AT)/Göttingen(DE). Soil characterization, climate-smart management. 2 specializations, joint degree."
80,"Erasmus Mundus Joint Masters SUFONAMA","SUFONAMA",24,120,"University of Copenhagen (Denmark - coordinator), University of Göttingen (Germany), Swedish University of Agricultural Sciences (Sweden), Bangor University (UK), University of Padova (Italy)","https://sufonama-em.eu","Sustainable Forest & Nature Management","Bachelor's in forestry/natural resources/environmental science","Forestry, biology, environmental science, agriculture, geography","Statistics/modelling expected","IELTS 6.5/TOEFL 83 or equivalent","English-medium degrees","NOT required","Typically January (check site for exact call)","Online application to consortium; flexible mobility across 5 partners (min 2 countries); specializations in conservation/forest management/policy; joint thesis","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","SUFONAMA EMJMD: forestry/env science grads for sustainable natural resource management. 5 EU unis (DK/DE/SE/UK/IT). Landscape-level forest/nature, climate adaptation. IELTS6.5. Flexible mobility, joint MSc."
81,"Erasmus Mundus Joint Master AISS","AISS",24,120,"Tallinn University (Estonia), Tampere University (Finland), Lusófona University (Portugal)","https://aissprogram.eu","Artificial Intelligence for Sustainable Societies","Bachelor's in relevant fields","Engineering, IT, environmental science, social sciences, design, statistics, business","Statistics/math for AI expected","English proficiency required","English-medium degrees","NOT required","December 2, 2025 - January 15, 2026 (opens Dec 2, 2025)","Online application; hybrid pedagogy with interdisciplinary projects for real clients (industry/NGOs/cities); mobility across Estonia/Finland/Portugal; modules on sustainable societies, AI/data science, participatory design","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","AISS EMJMD: interdisciplinary grads (eng/IT/env/social/design) for AI-driven sustainable societies. Tallinn/Tampere/Lusófona. Participatory design, data science, citizen engagement. Apply Dec2-Jan15 2026."
82,"Erasmus Mundus Joint Master EUROPHOTONICS","EUROPHOTONICS",24,120,"Aix-Marseille Université (France - coordinator), Karlsruhe Institute of Technology (Germany), Universitat Politècnica de Catalunya (Spain), Tampere University (Finland), Vilnius University (Lithuania)","https://www.europhotonics.org","Photonics Engineering & Nanophotonics","Bachelor's/Licence (≥180 ECTS) in physics/engineering","Physics, electrical/mechanical engineering, physical chemistry","Strong optics/math background required","TOEFL/IELTS required","English-medium degrees","NOT required","January 29, 2026 (opens November 1, 2025)","Online application; flexible mobility across 5 partners (min 2 countries); specializations in photonics engineering/biophotonics/quantum optics; research thesis","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","EUROPHOTONICS EMJMD: physics/engineering grads (180 ECTS). France/Germany/Spain/Finland/Lithuania. Photonics/nanophotonics/biophotonics/quantum optics. Apply Nov1-Jan29 2026. Multiple degrees."
83,"Erasmus Mundus Joint Master EMship","EMship",24,120,"Ghent University (Belgium - M1 coordinator), Universitatea Dunărea de Jos din Galați (Romania - M1), then M2 at Université de Liège (Belgium), Centrale Nantes (France), Instituto Superior Técnico (Portugal), Universidad Politécnica de Madrid (Spain), University of Rostock (Germany)","https://emship.eu","Advanced Design of Sustainable Ships & Offshore Structures","Bachelor's in naval/mechanical engineering","Naval architecture, mechanical engineering, offshore engineering","Hydrodynamics/structural analysis background","English proficiency required","English-medium degrees","NOT required","May 31, 2026","Online application; M1 at Ghent/Romania (core), M2 specialization at 1 of 5 partners; industry projects, thesis; joint master's from multiple partners","Erasmus Mundus scholarships (€1400/month + tuition waiver + €9000 total fee covered)","EMship EMJMD: naval/mech eng grads for sustainable ships/offshore. M1 Ghent(BE)/Galați(RO), M2 Liège/Nantes/Lisboa/Madrid/Rostock. Hydrodynamics, decarbonization, renewables. Apply by May 31."
84,"Erasmus Mundus Joint Master GREENANO","GREENANO",24,120,"Université de Lorraine / Mines Nancy (France - S1), Tor Vergata University of Rome + CNR Institute (Italy - S2), Jožef Stefan International Postgraduate School (Slovenia - S3)","https://www.greenanomaster.eu","Nanomaterials for Green & Digital Transition","Bachelor's in materials science/engineering/physics","Materials science, physics, chemistry, nanoscience","Solid state physics/math fundamentals","English proficiency required","English-medium degrees","NOT required","February 1, 2026 (typical; check site)","Online application; S1 France (fundamentals/sustainability), S2 Italy (nanostructures/carbon materials), S3 Slovenia (advanced processing); winter/summer schools, hackathons, thesis","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","GREENANO EMJMD: materials/physics/chem grads for green/digital nanomaterials. France(fundamentals)-Italy(nanodevices)-Slovenia(processing). Sustainability by design, circular economy. Winter/summer schools. Apply by Feb 1."
85,"Erasmus Mundus Joint Master RePIC","RePIC",24,120,"UNIC European University alliance (8 partners including University College Cork (Ireland), Erasmus University Rotterdam (Netherlands), University of Deusto (Spain), plus others across Europe)","https://www.unic.eu/repic","Redesigning the Post-Industrial City","Bachelor's degree relevant to urban studies","Architecture, urban planning, social sciences, engineering, design","Competitive academic record","English proficiency required","English-medium degrees","NOT required","Check UNIC site (new program, calls typically Jan-Feb)","Online application; mobility across UNIC partners; CityLabs projects with local stakeholders; co-design studios, urban field classes, engaged research; joint MSc from multiple partners","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","RePIC EMJMD: urban/social/design grads for post-industrial city regeneration. UNIC alliance (8 EU cities). CityLabs, participatory design, superdiversity challenges. Intercultural mobility, team projects with communities. Joint MSc."
86,"Erasmus Mundus Joint Master CLMCE","CLMCE",24,120,"University of Glasgow (UK - S1), Aarhus University (Denmark - S2), Tilburg University (Netherlands - S3 option), Nantes University (France - S3 option), University of Wrocław (Poland - S3 option)","https://www.gla.ac.uk/postgraduate/taught/childrens-literature-media-culture/","Children's Literature, Media & Cultural Entrepreneurship","Bachelor's in humanities/social sciences","Literature, media, education, cultural studies, languages","Competitive academic record","English proficiency required","English-medium degrees","Placement experience included","Check site (typically Jan-Feb for scholarships)","Online application; S1 Glasgow (theory/criticism), S2 Aarhus (mediatisation), S3 specialization (Tilburg/Nantes/Wrocław entrepreneurship/placement), dissertation; cultural events/placements","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","CLMCE EMJMD: literature/media/education grads for children's texts/media/entrepreneurship. Glasgow(UK)-Aarhus(DK)-Tilburg(NL)/Nantes(FR)/Wrocław(PL). Digital/multimodal, publishing, creative industries. Placements included."
87,"Erasmus Mundus Joint Master GroundwatCH","GroundwatCH",24,120,"Instituto Superior Técnico (Portugal - S1), IHE Delft Institute for Water Education (Netherlands - S2), TU Dresden (Germany - S3), thesis at any partner","https://www.groundwatermaster.eu","Groundwater & Global Change","Bachelor's in engineering/environmental science","Civil/water engineering, environmental science, geology, hydrology","Hydrogeology/modelling background expected","English proficiency required","English-medium degrees","NOT required","Jan 5 (non-EU), Feb 2 (EU) 2026; opens Oct 1, 2025","Online application; fixed mobility Portugal-Netherlands-Germany + thesis; interdisciplinary focus on climate adaptation, three joint master's degrees","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","GroundwatCH EMJMD: water/env eng grads for groundwater/climate adaptation. S1 Lisbon(PT hydro), S2 Delft(NL management), S3 Dresden(DE climate), S4 thesis. Hydrogeology/modelling. Apply Oct1-Jan5/Feb2 2026."
88,"Erasmus Mundus Joint Master IPCVAI","IPCVAI",24,120,"Pázmány Péter Catholic University (Hungary), Universidad Autónoma de Madrid (Spain), Université de Bordeaux (France)","https://ipcv.eu","Image Processing & Computer Vision AI","Bachelor's in engineering/computer science","Electrical engineering, computer science, applied math","Strong math/programming background required","English proficiency required","English-medium degrees","NOT required","Check site (typically Jan-Feb for scholarships)","Online application; mobility across Hungary/Spain/France; three master's degrees awarded; industry internships with associated partners","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel) + half-fee waivers","IPCVAI EMJMD: eng/CS/math grads for AI-image processing/computer vision. Hungary/Spain/France. Neural models, interdisciplinary IPCV. 3 MSc degrees. EM scholarships + fee waivers available."
89,"Erasmus Mundus Joint Master EMOTION","EMOTION",24,120,"Università del Piemonte Orientale (Italy - Year 1), Université de Namur (Belgium - S3 option), Universidad Miguel Hernández (Spain - S3 option)","https://www.emotion-master.eu","Skin Health & Care","Bachelor's in biomedical/life sciences/pharmacy","Biology, pharmacy, medicine, chemistry, biotechnology","Competitive academic record","English proficiency required","English-medium degrees","NOT required","January 31, 2026","Online application; Year 1 Italy (anatomy/dermatology/pharma), S3 Belgium (clinical) or Spain (preclinical), thesis (industry/academia); workshops on project mgmt/entrepreneurship","18 Erasmus Mundus scholarships (€1400/month x24 + tuition waiver) + 7 non-fee places","EMOTION EMJMD: biomedical/pharma grads for skin health R&D. Year 1 Italy, S3 Belgium(clinical)/Spain(preclinical), thesis. Dermatology/cosmetics/drugs from ideation-marketing. 18 EM scholarships. Apply by Jan 31."57,"Erasmus Mundus Joint Master HumanResponse","HumanResponse",24,120,"ISCTE–University Institute of Lisbon (Portugal - S1), NTNU (Norway - S2), Makerere University (Uganda - S3), University of Cape Verde, National & Kapodistrian University of Athens (Greece), Rovuma University (Mozambique)","https://humanresponse.eu","Humanitarian Response & Health","Bachelor's degree (any field)","Social sciences, health, management, related disciplines","Competitive academic record","English proficiency required","English-medium degrees","Humanitarian/practical experience advantageous","January 9, 2026 (17:00 CET)","Online application (CV, transcripts, motivation, recommendations); mobility Portugal-Norway-Uganda + thesis fieldwork (25 partner institutions); summer schools, internships; South-North focus","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel); 100 vacancies over 4 editions","HumanResponse EMJM: multidisciplinary humanitarian training. S1 Lisbon (logistics/leadership), S2 Norway (public health/design), S3 Uganda (social work), S4 thesis fieldwork. 7 universities (3 EU, 4 Africa)."
